"FILENAME","LIBRARY","SUPPLIER","URL","DOWNLOAD","TAGS"
"Cover Me I'm Reloading.wav","British Soldier Voices","344 Audio","https://sonniss.com/sound-effects/british-soldier-voices/","/Sonniss - GDC 2020 - Game Audio Bundle/344 Audio - British Soldier Voices/Cover Me I'm Reloading.wav","army|voices|british|english|soldier|royal|navy|sas|special|forces|armed|combat|war|warzone|dialogue|radio|chatter|conflict|shout|whisper|grunt|talking|commands|orders|cover|me|i'm|reloadingwav|british soldier voices|344 audio"
"Don't Give Up.wav","British Soldier Voices","344 Audio","https://sonniss.com/sound-effects/british-soldier-voices/","/Sonniss - GDC 2020 - Game Audio Bundle/344 Audio - British Soldier Voices/Don't Give Up.wav","army|voices|british|english|soldier|royal|navy|sas|special|forces|armed|combat|war|warzone|dialogue|radio|chatter|conflict|shout|whisper|grunt|talking|commands|orders|don't|give|upwav|british soldier voices|344 audio"
"Grunts 16.wav","British Soldier Voices","344 Audio","https://sonniss.com/sound-effects/british-soldier-voices/","/Sonniss - GDC 2020 - Game Audio Bundle/344 Audio - British Soldier Voices/Grunts 16.wav","army|voices|british|english|soldier|royal|navy|sas|special|forces|armed|combat|war|warzone|dialogue|radio|chatter|conflict|shout|whisper|grunt|talking|commands|orders|grunts|16wav|british soldier voices|344 audio"
"Tango Spotted.wav","British Soldier Voices","344 Audio","https://sonniss.com/sound-effects/british-soldier-voices/","/Sonniss - GDC 2020 - Game Audio Bundle/344 Audio - British Soldier Voices/Tango Spotted.wav","army|voices|british|english|soldier|royal|navy|sas|special|forces|armed|combat|war|warzone|dialogue|radio|chatter|conflict|shout|whisper|grunt|talking|commands|orders|tango|spottedwav|british soldier voices|344 audio"
"Low Boom 3.wav","Conspiracy Theory","344 Audio","https://sonniss.com/sound-effects/conspiracy-theory/","/Sonniss - GDC 2020 - Game Audio Bundle/344 Audio - Conspiracy Theory/Low Boom 3.wav","sub|impact|bass|boom|low|frequency|deep|cinematic|dark|heavy|3wav|conspiracy theory|344 audio"
"Radio Voice 11.wav","Conspiracy Theory","344 Audio","https://sonniss.com/sound-effects/conspiracy-theory","/Sonniss - GDC 2020 - Game Audio Bundle/344 Audio - Conspiracy Theory/Radio Voice 11.wav","broadcast|vintage|radio|emergency|response|american|voice|alert|analog|lofi|distorted|comms|space|historic|nasa|aircraft|aviation|air|traffic|control|11wav|conspiracy theory|344 audio"
"Stab 3.wav","Conspiracy Theory","344 Audio","https://sonniss.com/sound-effects/conspiracy-theory/","/Sonniss - GDC 2020 - Game Audio Bundle/344 Audio - Conspiracy Theory/Stab 3.wav","stab|sting|string|hit|pluck|ethnic|cinematic|dark|tension|creepy|trailer|instrument|3wav|conspiracy theory|344 audio"
"Whistle 9.wav","Conspiracy Theory","344 Audio","https://sonniss.com/sound-effects/conspiracy-theory/","/Sonniss - GDC 2020 - Game Audio Bundle/344 Audio - Conspiracy Theory/Whistle 9.wav","whistle|airy|blowing|blown|ambient|atmosphere|drone|cinematic|dark|tension|spacey|hum|wind|mouth|9wav|conspiracy theory|344 audio"
"INT Haunted Factory, Pipes, Tools, Broken Fan, Electricity, Lights, Hum, Reverberant.wav","Haunting Ambiences","344 Audio","https://sonniss.com/sound-effects/haunting-ambiences/","/Sonniss - GDC 2020 - Game Audio Bundle/344 Audio - Haunting Ambiences/INT Haunted Factory, Pipes, Tools, Broken Fan, Electricity, Lights, Hum, Reverberant.wav","int|haunted|factory|pipes|tools|broken|fan|electricity|lights|hum|reverberant|reverberantwav|haunting ambiences|344 audio"
"INT Haunted Sewers, Roomtone, Below Traffic, Rumble, Distant.wav","Haunting Ambiences","344 Audio","https://sonniss.com/sound-effects/haunting-ambiences/","/Sonniss - GDC 2020 - Game Audio Bundle/344 Audio - Haunting Ambiences/INT Haunted Sewers, Roomtone, Below Traffic, Rumble, Distant.wav","int|haunted|sewers|roomtone|below|traffic|rumble|distant|distantwav|haunting ambiences|344 audio"
