"FILENAME","LIBRARY","SUPPLIER","URL","DOWNLOAD","TAGS"
"dry hard metal impact with rust debris 20.wav","Black Metal","Alexander Kopeikin","http://www.sonniss.com/sound-effects/black-metal/","/Sonniss - GDC 2016 - Game Audio Bundle/Alexander Kopeikin - Black Metal/dry hard metal impact with rust debris 20.wav","metal|impact|hard|sheet|with|rust|debris|closeup|dry|20wav|black metal|alexander kopeikin"
"dry rusty metal impact with collapse 08.wav","Black Metal","Alexander Kopeikin","http://www.sonniss.com/sound-effects/black-metal/","/Sonniss - GDC 2016 - Game Audio Bundle/Alexander Kopeikin - Black Metal/dry rusty metal impact with collapse 08.wav","metal|impact|rusty|sheet|with|collapse|closeup|dry|08wav|black metal|alexander kopeikin"
"heavy sheet metal low groan 13.wav","Black Metal","Alexander Kopeikin","http://www.sonniss.com/sound-effects/black-metal/","/Sonniss - GDC 2016 - Game Audio Bundle/Alexander Kopeikin - Black Metal/heavy sheet metal low groan 13.wav","sheet|metal|heavy|low|groan|13wav|black metal|alexander kopeikin"
"metal, heavy creaks, shipwreck, submarine deformation under pressure 07.wav","Black Metal","Alexander Kopeikin","http://www.sonniss.com/sound-effects/black-metal/","/Sonniss - GDC 2016 - Game Audio Bundle/Alexander Kopeikin - Black Metal/metal, heavy creaks, shipwreck, submarine deformation under pressure 07.wav","metal|heavy|creaks|shipwreck|submarine|deformation|under|pressure|07wav|black metal|alexander kopeikin"
"rock impact medium 26.wav","Rocks","Alexander Kopeikin","http://www.sonniss.com/sound-effects/rocks-sfx-library/","/Sonniss - GDC 2016 - Game Audio Bundle/Alexander Kopeikin - Rocks/rock impact medium 26.wav","rock|rockslide|impact|on|medium|26wav|rocks|alexander kopeikin"
"rock tumble down debris long 06.wav","Rocks","Alexander Kopeikin","http://www.sonniss.com/sound-effects/rocks-sfx-library/","/Sonniss - GDC 2016 - Game Audio Bundle/Alexander Kopeikin - Rocks/rock tumble down debris long 06.wav","rock|rockslide|tumbling|down|slope|small|and|mediumsized|stones|rolling|long|tumble|debris|06wav|rocks|alexander kopeikin"
"rocks stream down heavy 02.wav","Rocks","Alexander Kopeikin","http://www.sonniss.com/sound-effects/rocks-sfx-library/","/Sonniss - GDC 2016 - Game Audio Bundle/Alexander Kopeikin - Rocks/rocks stream down heavy 02.wav","rock|rockslide|mass|of|stones|tumbling|down|slope|heavy|rocks|stream|02wav|rocks|alexander kopeikin"
"soil and dirt debris heavy 13.wav","Rocks","Alexander Kopeikin","http://www.sonniss.com/sound-effects/rocks-sfx-library/","/Sonniss - GDC 2016 - Game Audio Bundle/Alexander Kopeikin - Rocks/soil and dirt debris heavy 13.wav","rock|rockslide|dirt|debris|falling|landslide|or|explosion|heavy|soil|and|13wav|rocks|alexander kopeikin"
"sci-fi metal boiling metal spill 05.wav","Sci-Fi Metal Elements HD","Alexander Kopeikin","http://www.sonniss.com/sound-effects/sci-fi-metal-elements-hd/","/Sonniss - GDC 2016 - Game Audio Bundle/Alexander Kopeikin - Sci-Fi Metal Elements HD/sci-fi metal boiling metal spill 05.wav","scifi|metal|boiling|molten|spilled|on|hard|surface|spill|05wav|sci-fi metal elements hd|alexander kopeikin"
"sci-fi metal deformation, buckling and melting 33.wav","Sci-Fi Metal Elements HD","Alexander Kopeikin","http://www.sonniss.com/sound-effects/sci-fi-metal-elements-hd/","/Sonniss - GDC 2016 - Game Audio Bundle/Alexander Kopeikin - Sci-Fi Metal Elements HD/sci-fi metal deformation, buckling and melting 33.wav","scifi|metal|deformation|destruction|buckling|and|melting|33wav|sci-fi metal elements hd|alexander kopeikin"
"sci-fi metal destruction tone, vaporizing metal, cracking.wav","Sci-Fi Metal Elements HD","Alexander Kopeikin","http://www.sonniss.com/sound-effects/sci-fi-metal-elements-hd/","/Sonniss - GDC 2016 - Game Audio Bundle/Alexander Kopeikin - Sci-Fi Metal Elements HD/sci-fi metal destruction tone, vaporizing metal, cracking.wav","scifi|metal|destruction|tone|vaporizing|plate|cracking|crackingwav|sci-fi metal elements hd|alexander kopeikin"
"sci-fi metal impact, steel bulkhead hit, low 01.wav","Sci-Fi Metal Elements HD","Alexander Kopeikin","http://www.sonniss.com/sound-effects/sci-fi-metal-elements-hd/","/Sonniss - GDC 2016 - Game Audio Bundle/Alexander Kopeikin - Sci-Fi Metal Elements HD/sci-fi metal impact, steel bulkhead hit, low 01.wav","scifi|metal|impact|steel|wall|bulkhead|hit|low|01wav|sci-fi metal elements hd|alexander kopeikin"
"ambience, port, cranes unloading cargo, loud impacts, night crickets in bg.wav","St Petersburg","Alexander Kopeikin","http://www.sonniss.com/sound-effects/st-petersburg/","/Sonniss - GDC 2016 - Game Audio Bundle/Alexander Kopeikin - St Petersburg/ambience, port, cranes unloading cargo, loud impacts, night crickets in bg.wav","ambience|port|cranes|unloading|cargo|loud|impacts|night|crickets|in|bg|russia|saint|petersburg|bgwav|st petersburg|alexander kopeikin"
"churches, service at Peter and Paul cathedral.wav","St Petersburg","Alexander Kopeikin","http://www.sonniss.com/sound-effects/st-petersburg/","/Sonniss - GDC 2016 - Game Audio Bundle/Alexander Kopeikin - St Petersburg/churches, service at Peter and Paul cathedral.wav","churches|service|at|peter|and|paul|cathedral|choir|singing|russia|saint|petersburg|cathedralwav|st petersburg|alexander kopeikin"
"room tone, Vyborg, city library, voices, footsteps.wav","St Petersburg","Alexander Kopeikin","http://www.sonniss.com/sound-effects/st-petersburg/","/Sonniss - GDC 2016 - Game Audio Bundle/Alexander Kopeikin - St Petersburg/room tone, Vyborg, city library, voices, footsteps.wav","room|tone|vyborg|city|library|voices|footsteps|russia|saint|petersburg|footstepswav|st petersburg|alexander kopeikin"
"traffic on a highway, trucks, St Petersburg to Moscow.wav","St Petersburg","Alexander Kopeikin","http://www.sonniss.com/sound-effects/st-petersburg/","/Sonniss - GDC 2016 - Game Audio Bundle/Alexander Kopeikin - St Petersburg/traffic on a highway, trucks, St Petersburg to Moscow.wav","traffic|on|a|highway|trucks|st|petersburg|to|moscow|russia|saint|moscowwav|st petersburg|alexander kopeikin"
"Dog Team Travelling Onboard Intense.wav","Kamchatka Peninsula Ambiences","Alexey Sinitsyn","http://www.sonniss.com/sound-effects/kamchatka-peninsula-ambiences/","/Sonniss - GDC 2016 - Game Audio Bundle/Alexey Sinitsyn - Kamchatka Peninsula Ambiences/Dog Team Travelling Onboard Intense.wav","dog|team|travelling|onboard|intense|wood|creek|and|squeak|sledge|ride|intensewav|kamchatka peninsula ambiences|alexey sinitsyn"
"Kamchatka, Distant Cargo Port. Wind, Prop Planes Overhead, Mechanisms, Distant Dogs, Transportation Truck Pass By.wav","Kamchatka Peninsula Ambiences","Alexey Sinitsyn","http://www.sonniss.com/sound-effects/kamchatka-peninsula-ambiences/","/Sonniss - GDC 2016 - Game Audio Bundle/Alexey Sinitsyn - Kamchatka Peninsula Ambiences/Kamchatka, Distant Cargo Port. Wind, Prop Planes Overhead, Mechanisms, Distant Dogs, Transportation Truck Pass By.wav","kamchatka|distant|cargo|port|wind|prop|planes|overhead|mechanisms|dogs|transportation|truck|passes|pass|bywav|kamchatka peninsula ambiences|alexey sinitsyn"
"Audiobeast_Large_Warehouse_Colt_M1911_.45_ACP_Pistol_10m_MKH8040_Pair_001_Single_Shot_x6.wav","The London Warehouse Firearms Library","Audiobeast","http://www.sonniss.com/sound-effects/london-warehouse-firearms-library/","/Sonniss - GDC 2016 - Game Audio Bundle/Audiobeast - The London Warehouse Firearms Library/Audiobeast_Large_Warehouse_Colt_M1911_.45_ACP_Pistol_10m_MKH8040_Pair_001_Single_Shot_x6.wav","audiobeast_large_warehouse_colt_m1911_45_acp_pistol_10m_mkh8040_pair_001_single_shot_x6|audiobeast_large_warehouse_colt_m1911_45_acp_pistol_10m_mkh8040_pair_001_single_shot_x6wav|the london warehouse firearms library|audiobeast"
