"FILENAME","LIBRARY","SUPPLIER","URL","DOWNLOAD","TAGS"
"Moscow metro, platform, trains arrive and depart, Rechnoi Vokzal station, ORTF stereo.wav","Alexander Kopeikin","Moscow Ambience","https://sonniss.com/sound-effects/moscow-alexander-kopeikin/","/Alexander Kopeikin - Moscow Ambience/Moscow metro, platform, trains arrive and depart, Rechnoi Vokzal station, ORTF stereo.wav","moscow|metro|platform|trains|arrive|and|depart|rechnoi|vokzal|station|ortf|stereo|neumann|u87ai|matched|pair|sd722|stereowav|alexander kopeikin|moscow ambience"
"ambience detail, renewal works in old tenant building, changing floor tiles, ORTF stereo.wav","Alexander Kopeikin","Moscow Ambience","https://sonniss.com/sound-effects/moscow-alexander-kopeikin/","/Alexander Kopeikin - Moscow Ambience/ambience detail, renewal works in old tenant building, changing floor tiles, ORTF stereo.wav","ambience|detail|renewal|works|in|old|tenant|building|changing|floor|tiles|ortf|stereo|neumann|u87ai|matched|pair|sd722|stereowav|alexander kopeikin|moscow ambience"
"crowd, concert hall lobby, stand-up party, people talking and toasting, XY stereo.wav","Alexander Kopeikin","Moscow Ambience","https://sonniss.com/sound-effects/moscow-alexander-kopeikin/","/Alexander Kopeikin - Moscow Ambience/crowd, concert hall lobby, stand-up party, people talking and toasting, XY stereo.wav","crowd|concert|hall|lobby|standup|party|people|talking|and|toasting|xy|stereo|neumann|u87ai|matched|pair|sd722|stereowav|alexander kopeikin|moscow ambience"
"room tone, large cafe in university, loud conversations, A-B stereo.wav","Alexander Kopeikin","Moscow Ambience","https://sonniss.com/sound-effects/moscow-alexander-kopeikin/","/Alexander Kopeikin - Moscow Ambience/room tone, large cafe in university, loud conversations, A-B stereo.wav","room|tone|large|cafe|in|university|loud|conversations|ab|stereo|akg|c414bxlsst|sd722|stereowav|alexander kopeikin|moscow ambience"
"traffic, discrete car passes on narrow street, daytime, summer, ORTF stereo.wav","Alexander Kopeikin","Moscow Ambience","https://sonniss.com/sound-effects/moscow-alexander-kopeikin/","/Alexander Kopeikin - Moscow Ambience/traffic, discrete car passes on narrow street, daytime, summer, ORTF stereo.wav","traffic|discrete|car|passes|on|narrow|street|daytime|summer|ortf|stereo|neumann|u87ai|matched|pair|sd722|stereowav|alexander kopeikin|moscow ambience"
"transition elastic 013.wav","Alexander Kopeikin","Transitions HD","https://sonniss.com/sound-effects/transitions-hd-volume-1-sound-effects/","/Alexander Kopeikin - Transitions HD/transition elastic 013.wav","transition|elastic|shutter|digital|undulating|medium|length|inward|motion|013wav|alexander kopeikin|transitions hd"
"transition elastic 032.wav","Alexander Kopeikin","Transitions HD","https://sonniss.com/sound-effects/transitions-hd-volume-1-sound-effects/","/Alexander Kopeikin - Transitions HD/transition elastic 032.wav","transition|elastic|shutter|digital|long|modulated|low|outward|motion|032wav|alexander kopeikin|transitions hd"
"transition elastic 076.wav","Alexander Kopeikin","Transitions HD","https://sonniss.com/sound-effects/transitions-hd-volume-1-sound-effects/","/Alexander Kopeikin - Transitions HD/transition elastic 076.wav","transition|elastic|sweep|electronic|wind|up|and|down|long|076wav|alexander kopeikin|transitions hd"
"transition elastic 102.wav","Alexander Kopeikin","Transitions HD","https://sonniss.com/sound-effects/transitions-hd-volume-1-sound-effects/","/Alexander Kopeikin - Transitions HD/transition elastic 102.wav","transition|elastic|shutter|digital|fluttery|spitty|long|102wav|alexander kopeikin|transitions hd"
"transition shutter 002.wav","Alexander Kopeikin","Transitions HD","https://sonniss.com/sound-effects/transitions-hd-volume-1-sound-effects/","/Alexander Kopeikin - Transitions HD/transition shutter 002.wav","transition|shutterlike|hi|tech|door|sliding|inward|motion|shutter|002wav|alexander kopeikin|transitions hd"
"transition shutter 009.wav","Alexander Kopeikin","Transitions HD","https://sonniss.com/sound-effects/transitions-hd-volume-1-sound-effects/","/Alexander Kopeikin - Transitions HD/transition shutter 009.wav","transition|shutterlike|hi|tech|door|latch|outward|motion|with|click|shutter|009wav|alexander kopeikin|transitions hd"
"transition shutter 017.wav","Alexander Kopeikin","Transitions HD","https://sonniss.com/sound-effects/transitions-hd-volume-1-sound-effects/","/Alexander Kopeikin - Transitions HD/transition shutter 017.wav","transition|shutterlike|powerful|sliding|shutter|metallic|tone|wide|with|ringout|017wav|alexander kopeikin|transitions hd"
"transition t04 soft 016.wav","Alexander Kopeikin","Transitions HD","https://sonniss.com/sound-effects/transitions-hd-volume-1-sound-effects/","/Alexander Kopeikin - Transitions HD/transition t04 soft 016.wav","transition|soft|shutter|hi|tech|door|opening|outward|motion|t04|016wav|alexander kopeikin|transitions hd"
"transition t05 hard 002.wav","Alexander Kopeikin","Transitions HD","https://sonniss.com/sound-effects/transitions-hd-volume-1-sound-effects/","/Alexander Kopeikin - Transitions HD/transition t05 hard 002.wav","transition|hard|shutter|zipper|fast|closing|t05|002wav|alexander kopeikin|transitions hd"
"transition t07 two-step 007.wav","Alexander Kopeikin","Transitions HD","https://sonniss.com/sound-effects/transitions-hd-volume-1-sound-effects/","/Alexander Kopeikin - Transitions HD/transition t07 two-step 007.wav","transition|twostep|flame|roar|whoosh|after|sizzle|t07|007wav|alexander kopeikin|transitions hd"
