"FILENAME","LIBRARY","SUPPLIER","URL","DOWNLOAD","TAGS"
"birds_outside_002_wide.wav","European Ambiances","3maze","http://www.sonniss.com/sound-effects/european-ambiances/","/Sonniss - GDC 2017 - Game Audio Bundle/3maze - European Ambiances	/birds_outside_002_wide.wav","snote=birds|outside|nature|trees|environment|wild|wildlife|birds_outside_002_widewav|european ambiances|3maze"
"busy_dining_room_002.wav","European Ambiances","3maze","http://www.sonniss.com/sound-effects/european-ambiances/","/Sonniss - GDC 2017 - Game Audio Bundle/3maze - European Ambiances	/busy_dining_room_002.wav","snote=roomtone|room|tone|atmosphere|ambience|food|dining|people|public|busy_dining_room_002wav|european ambiances|3maze"
"madrid_food_market_busy_001.wav","European Ambiances","3maze","http://www.sonniss.com/sound-effects/european-ambiances/","/Sonniss - GDC 2017 - Game Audio Bundle/3maze - European Ambiances	/madrid_food_market_busy_001.wav","snote=market|food|madrid|busy|people|space|ambience|crowd|public|chatter|talking|noise|movement|madrid_food_market_busy_001wav|european ambiances|3maze"
"rain_umbrella_001_wide.wav","European Ambiances","3maze","http://www.sonniss.com/sound-effects/european-ambiances/","/Sonniss - GDC 2017 - Game Audio Bundle/3maze - European Ambiances	/rain_umbrella_001_wide.wav","snote=weather|rain|environment|outside|exterior|water|raining|nature|umbrella|brolly|rain_umbrella_001_widewav|european ambiances|3maze"
"50s_elevator_ride_down_001.wav","The Elevator","3maze","http://www.sonniss.com/sound-effects/elevator/","/Sonniss - GDC 2017 - Game Audio Bundle/3maze - The Elevator/50s_elevator_ride_down_001.wav","snote=elevator|floors|descend|down|mechanical|1950s|1950|50s|retro|vintage|50s_elevator_ride_down_001wav|the elevator|3maze"
"elevator_mechanism_002_wide.wav","The Elevator","3maze","http://www.sonniss.com/sound-effects/elevator/","/Sonniss - GDC 2017 - Game Audio Bundle/3maze - The Elevator/elevator_mechanism_002_wide.wav","snote=elevator|mechanical|mechanism|metal|gears|electric|electrical|wires|lift|moving|machine|machinery|elevator_mechanism_002_widewav|the elevator|3maze"
"elevator_mechanism_005_wide.wav","The Elevator","3maze","http://www.sonniss.com/sound-effects/elevator/","/Sonniss - GDC 2017 - Game Audio Bundle/3maze - The Elevator/elevator_mechanism_005_wide.wav","snote=elevator|mechanical|mechanism|metal|gears|electric|electrical|wires|lift|moving|machine|machinery|elevator_mechanism_005_widewav|the elevator|3maze"
"soviet_elevator_door_close_001.wav","The Elevator","3maze","http://www.sonniss.com/sound-effects/elevator/","/Sonniss - GDC 2017 - Game Audio Bundle/3maze - The Elevator/soviet_elevator_door_close_001.wav","snote=elevator|door|close|manual|mechanical|soviet|1960s|1960|60s|retro|vintage|soviet_elevator_door_close_001wav|the elevator|3maze"
"Magic Effect-000.wav","Groats Part1","Alexander Ahura","http://www.sonniss.com/sound-effects/groats-part1/","/Sonniss - GDC 2017 - Game Audio Bundle/Alexander Ahura -  Groats Part1/Magic Effect-000.wav","foley|groat|magic|effect000wav|groats part1|alexander ahura"
"Pearl Barley Open Package-001.wav","Groats Part1","Alexander Ahura","http://www.sonniss.com/sound-effects/groats-part1/","/Sonniss - GDC 2017 - Game Audio Bundle/Alexander Ahura -  Groats Part1/Pearl Barley Open Package-001.wav","foley|groat|pearl|barley|open|package001wav|groats part1|alexander ahura"
